Iteration;Oil_Price_USD;Sanctions_Years;RUB_EUR;Industrial_Growth_pct;Win_Rate_pct;CAPEX_Overrun;Revenue_M_EUR_yr;NPV_M_EUR;ROI_5yr_pct;Payback_Years
150;75.3457;8.3985;77.8959;4.2266;62.0789;0.9406;0.9695;-14.7124;-65.6443;14.5536
151;74.5089;3.8269;73.1067;0.9578;48.2428;1.1561;1.5972;-15.7574;-53.9491;10.8575
152;76.2361;4.3073;95.4211;3.81;55.7748;0.8931;1.2285;-11.7211;-54.1499;10.9051
153;57.7596;2.3675;74.0062;5.6698;35.9019;1.1283;1.265;-16.3644;-62.6281;13.379
154;74.1806;4.5359;76.6923;4.5664;78.7984;1.0548;2.3145;-8.0789;-26.8595;6.8362
155;75.2753;2.3535;102.9327;2.6722;31.4908;0.9443;0.7695;-15.8402;-72.8366;18.4071
156;57.1417;4.9153;78.5474;6.0469;63.445;1.168;1.628;-14.8676;-53.5386;10.7616
157;103.5839;7.8933;111.2528;4.1521;64.7917;1.2787;0.976;-21.8156;-74.5578;19.6524
158;78.529;2.6559;145.1411;2.7676;68.2683;1.037;1.1121;-15.6042;-64.2549;13.9879
159;48.5565;6.0432;96.3542;7.909;61.2671;1.1252;1.0216;-17.7226;-69.7365;16.5215
160;81.818;1.2471;103.3073;3.0202;54.6955;0.8;2.0031;-5.0033;-16.5382;5.9908
161;52.4557;3.5557;165.6197;5.9192;64.9332;1.3209;1.046;-22.4006;-73.6027;18.9413
162;84.1675;2.1218;74.3118;3.446;46.4395;0.8989;1.7366;-9.1516;-35.6026;7.7643
163;90.8547;3.438;134.6904;4.8037;60.3187;0.8417;1.2471;-10.4049;-50.6114;10.1238
164;55.2277;2.5301;130.6974;3.2467;61.2385;1.1941;1.1519;-18.5778;-67.8427;15.5486
165;87.3408;3.5444;123.8102;2.741;34.831;0.9261;0.7328;-15.5491;-73.6236;18.9563
166;77.4301;3.7763;138.1178;5.3833;66.6595;0.8704;1.1177;-11.7043;-57.1935;11.6805
167;84.7971;3.1801;107.2662;5.2079;43.7039;0.943;1.0783;-13.9309;-61.8815;13.117
168;104.1423;5.2214;86.4389;6.317;40.2962;0.8;1.0036;-11.1827;-58.1824;11.9567
169;65.583;7.677;131.4746;4.5484;69.0501;0.8685;0.8121;-13.6556;-68.8307;16.0414
170;56.4327;3.6865;132.7385;7.9305;58.8011;1.2269;0.9976;-20.4217;-72.8959;18.4474
171;53.9887;2.6373;131.8281;5.0025;74.1074;1.2626;1.6986;-17.4363;-55.1557;11.1497
172;55.3154;3.036;101.1188;5.4502;58.2262;1.0132;1.5787;-12.186;-48.06;9.6265
173;68.6122;6.8841;83.6065;2.5624;45.9551;0.8729;0.8797;-13.3971;-66.4092;14.885
174;76.1407;4.6628;104.9003;3.6789;53.5211;1.0863;1.4518;-14.4395;-55.4507;11.2235
175;74.9804;3.9799;126.5614;5.3795;64.9388;0.8;1.213;-9.8912;-49.4571;9.8926
176;84.8893;2.3852;129.1866;4.4737;67.3472;1.2639;1.393;-19.3569;-63.2625;13.6101
177;70.234;3.9508;89.8149;4.8815;73.9593;0.9862;1.9613;-8.7986;-33.7051;7.5421
178;96.1636;3.0732;108.2035;3.3753;71.5162;0.8131;2.4506;-3.0947;0.4606;4.9771
179;65.2362;8.0559;72.0943;4.7829;50.0864;1.3464;0.9719;-23.2144;-75.9371;20.7789
180;118.963;7.2234;127.9203;4.7778;75.3819;1.0086;1.026;-15.8381;-66.0891;14.7445
181;81.262;1.9116;82.2154;2.8293;42.8584;0.9183;1.3771;-11.0749;-50.0137;10.0027
182;54.5712;4.3306;121.6909;5.5638;48.0284;1.5067;0.932;-27.3181;-79.3812;24.2497
183;50.7239;2.812;75.0267;2.0499;62.6004;0.9003;1.8037;-8.9898;-33.2158;7.4868
184;78.6845;3.7403;129.415;4.8764;65.0301;1.1615;1.3171;-17.5828;-62.2024;13.2283
185;65.9777;7.1383;108.3784;7.2484;66.3463;1.1487;1.2233;-17.3886;-64.5025;14.0855
186;82.852;4.3946;82.2555;5.6208;69.0095;0.8441;1.75;-7.4456;-30.8904;7.2349
187;78.5183;3.3461;118.8675;5.6114;52.0981;0.9725;1.0479;-14.4859;-64.0817;13.9205
188;68.6891;2.722;86.2784;3.2539;18.7668;0.9508;0.5143;-17.4136;-81.971;27.7332
189;54.7577;6.356;120.6096;7.2536;51.191;0.8;0.7362;-12.9713;-69.3268;16.3009
190;42.7327;5.003;93.3767;6.6651;42.8927;0.8;1.1651;-10.1522;-51.4562;10.3
191;61.9627;4.0524;65.0339;3.3346;34.2142;0.8;1.0762;-10.8108;-55.1582;11.1503
192;85.4152;2.7727;78.2232;3.8879;93.6937;0.914;3.319;0.5744;21.049;4.1306
193;73.8537;3.3462;89.7983;6.482;90.7828;0.8198;2.7146;-0.1545;10.3704;4.5302
194;47.5767;8.3659;140.7827;7.2942;47.082;0.83;0.4336;-15.2784;-82.5881;28.7159
195;73.1173;4.3508;125.2681;2.703;73.2823;0.9193;1.2151;-12.6321;-55.9416;11.3486
196;76.9357;3.687;150.0751;3.0944;74.3068;1.0007;1.5862;-12.0277;-47.1656;9.4635
197;54.0906;4.3586;151.1963;4.3843;44.0506;0.9394;0.552;-17.0161;-80.4113;25.5249
198;72.7671;6.1663;87.4863;1.3434;93.2365;0.8685;1.6175;-8.9403;-37.9233;8.0545
199;71.0478;3.3756;95.3971;4.6286;53.106;1.4714;1.2966;-24.3515;-70.6267;17.0223
200;49.4265;2.5602;90.2289;6.3786;58.782;0.9606;1.5536;-11.5094;-46.0886;9.2745
201;76.4402;4.7463;84.5457;2.442;68.1588;1.221;1.7887;-15.5195;-51.1689;10.2394
202;80.0941;5.2815;63.1048;4.7907;30.0032;0.8;0.9853;-11.3651;-58.9474;12.1795
203;89.4949;5.6292;99.632;3.7273;54.5498;1.3061;1.0443;-22.2582;-73.3489;18.761
204;88.9684;7.1986;72.5139;7.0599;43.5752;0.8961;1.1197;-12.4347;-58.3492;12.0046
205;45.202;3.5334;99.1493;3.7453;74.5388;1.7512;1.4548;-29.1487;-72.3097;18.0568
206;53.1191;1.8378;169.7137;6.8785;61.236;0.8;1.3113;-9.2257;-45.3622;9.1512
207;79.2706;8.3357;88.0438;3.7038;75.302;0.8078;1.1253;-10.422;-53.5656;10.7679
208;79.2481;3.8704;104.9899;5.7568;62.7414;0.963;1.4916;-11.5954;-48.3671;9.6838
209;79.2709;4.9947;125.4406;4.9779;59.2213;0.9315;0.8988;-14.4981;-67.8375;15.546
210;139.3492;5.2893;107.2586;4.3926;37.977;0.8;0.851;-12.3012;-64.5421;14.1012
211;80.276;4.5085;107.5861;3.4142;66.701;1.3428;1.2326;-21.4554;-69.404;16.342
212;90.4402;2.7079;91.3382;5.0846;27.7542;1.3149;0.8594;-23.3314;-78.2148;22.9514
213;87.172;5.9648;94.3679;3.9392;52.8921;0.9342;0.9657;-14.5306;-65.5414;14.5102
214;81.725;6.3875;78.6626;3.5654;78.8892;1.2238;1.6074;-17.0724;-56.2162;11.4198
215;64.3252;4.5477;123.5544;6.8091;55.3747;1.329;0.9823;-22.8434;-75.3615;20.2934
216;83.6614;4.1681;64.7023;5.4213;67.2723;0.9981;2.9747;-3.0717;-0.6522;5.0328
217;56.0891;2.145;127.4778;5.5655;73.5611;0.8746;1.3234;-10.9748;-49.5636;9.9135
218;65.7373;1.912;70.4037;4.0126;85.3081;1.2922;3.3602;-7.4129;-13.3234;5.7686
219;61.2635;3.3729;127.2078;4.321;59.7474;1.2526;1.1487;-19.8541;-69.4326;16.3573
220;71.4737;3.2303;91.5345;4.2271;70.3568;0.8;2.0124;-5.5163;-16.151;5.9631
221;111.6639;8.2445;73.4939;5.1059;75.4221;1.3274;1.5817;-19.1176;-60.2813;12.5885
222;36.3892;6.2067;115.5837;5.5627;81.551;0.8154;0.9804;-11.8062;-59.9246;12.4765
223;82.3527;5.2445;126.1362;4.5546;71.343;1.0788;1.0606;-16.96;-67.2289;15.2573
224;40.9711;4.3364;89.6265;3.411;74.38;0.8494;1.5279;-9.1127;-40.0396;8.3388
225;61.5052;2.4937;119.74;5.7409;78.4545;1.0334;2.2252;-8.5207;-28.2226;6.966
226;89.6011;8.8031;60.0;4.6501;72.5822;1.0234;1.6897;-11.9738;-44.9631;9.0848
227;71.157;3.5533;71.8817;2.4387;56.4181;1.5627;1.8175;-22.9476;-61.2321;12.8973
228;50.6006;2.0936;138.1407;1.3971;45.6202;0.8;0.8662;-12.172;-63.9085;13.8537
229;57.1245;4.1981;94.5617;5.0468;79.8379;0.8572;1.7154;-7.4675;-33.2924;7.4954
230;82.2328;7.1053;62.7788;3.3558;86.3328;0.9111;2.1561;-5.8254;-21.1174;6.3385
231;56.8534;7.2623;83.9695;5.2466;40.6289;1.068;0.6685;-19.1216;-79.1347;23.9633
232;73.8963;1.0103;79.3858;3.4366;62.8795;0.9395;2.6287;-3.8047;-6.7333;5.361
